tweet_id,retweet_count,favorite_count
892420643555336193,6943,33488
892177421306343426,5246,29035
891815181378084864,3456,21830
891689557279858688,7161,36540
891327558926688256,7686,34958
891087950875897856,2571,17613
890971913173991426,1639,10260
890729181411237888,15628,56301
890609185150312448,3594,24282
890240255349198849,6044,27657
890006608113172480,6091,26767
889880896479866881,4124,24315
889665388333682689,8268,41606
889638837579907072,3686,23432
889531135344209921,1869,13228
889278841981685760,4403,21861
888917238123831296,3731,25364
888804989199671297,3499,22239
888554962724278272,2853,17152
888078434458587136,2872,18969
887705289381826560,4503,26352
887517139158093824,9774,40276
887473957103951883,14898,59598
887343217045368832,8744,29305
887101392804085760,4956,26720
886983233522544640,6254,30062
886736880519319552,2602,10399
886680336477933568,3707,19531
886366144734445568,2605,18370
886267009285017600,4,103
886258384151887873,5227,24279
886054160059072513,92,0
885984800019947520,5571,28306
885528943205470208,5286,31302
885518971528720385,3086,17818
885311592912609280,15305,0
885167619883638784,3636,19068
884925521741709313,14882,66517
884876753390489601,4620,24157
884562892145688576,3884,21131
884441805382717440,4762,23640
884247878851493888,16742,62625
884162670584377345,2483,17757
883838122936631299,2840,18957
883482846933004288,8194,39758
883360690899218434,3055,19740
883117836046086144,5491,32173
882992080364220416,3218,20801
882762694511734784,4061,24522
882627270321602560,5017,24359
882268110199369728,9535,38827
882045870035918850,4052,25449
881906580714921986,2832,21242
881666595344535552,8874,44060
881633300179243008,8,112
881536004380872706,13290,43026
881268444196462592,4465,20294
880935762899988482,2319,14883
880872448815771648,3186,18528
880465832366813184,5174,24779
880221127280381952,3437,23434
880095782870896641,3625,24089
879862464715927552,2901,19509
879674319642796034,9,279
879492040517615616,2611,20508
879415818425184262,37068,91875
879376492567855104,2625,14704
879130579576475649,5685,0
879050749262655488,3919,19627
879008229531029506,2223,16597
878776093423087618,3408,16951
878604707211726852,5878,26184
878404777348136964,1063,0
878316110768087041,5484,0
878281511006478336,1063,6713
878057613040115712,5685,36743
877736472329191424,15669,68632
877556246731214848,3141,19706
877316821321428993,4308,23914
877201837425926144,4586,23666
876838120628539392,2787,18040
876537666061221889,3951,20850
876484053909872640,1984,16417
876120275196170240,3877,24458
875747767867523072,3553,21884
875144289856114688,4123,19239
875097192612077568,5077,24009
875021211251597312,3942,22339
874680097055178752,3890,24333
874434818259525634,12126,0
874296783580663808,3455,22761
874057562936811520,3354,19919
874012996292530176,8526,29868
873580283840344065,3323,21196
873337748698140672,1324,0
873213775632977920,1324,6268
872967104147763200,4526,23823
872820683541237760,3147,12937
872620804844003328,3048,18132
